branch	3
1	2000.0
2	2000.0
3	2000.0
4	2000.0
5	2000.0
6	2000.0
7	2000.0
8	2010.0
9	2000.0
10	2000.0
11	2040.0
12	200.0
13	2000.0
14	2000.0
15	2500.0
16	2000.0
17	2000.0
18	5000.0
19	2070.0
20	20430.0
21	2000.0
22	20040.0
23	26000.0
24	20070.0
25	27000.0
branch	4
1	1000.0
2	1000.0
3	2000.0
4	1000.0
5	213000.0
6	213000.0
7	234000.0
8	25000.0
9	25000.0
10	25000.0
11	24000.0
12	2000.0
13	20200.0
14	2000.0
15	2000.0
16	20500.0
17	2000.0
18	20600.0
19	2000.0
20	20060.0
21	20060.0
22	2000.0
23	21000.0
24	20100.0
25	20100.0
